Series,Current,Min,Max,Average
Start Time,-1.79769e+308
End Time,1.79769e+308
Current Time,0
/filtered_state/header/header/stamp,43.735000,43.735000,79.890000,61.812586
/filtered_state/pose/covariance/[0;0],875.709370,875.709370,1598.899815,1237.304593
/filtered_state/pose/covariance/[0;1],875.709370,875.709370,1598.899815,1237.304593
/filtered_state/pose/covariance/[0;2],875.709370,875.709370,1598.899815,1237.304593
/filtered_state/pose/covariance/[0;3],0.000000,0.000000,0.000000,0.000000
/filtered_state/pose/covariance/[0;4],0.000000,0.000000,0.000000,0.000000
/filtered_state/pose/covariance/[0;5],0.000000,0.000000,0.000000,0.000000
/filtered_state/pose/covariance/[1;1],875.709370,875.709370,1598.899815,1237.304593
/filtered_state/pose/covariance/[1;2],875.709370,875.709370,1598.899815,1237.304593
/filtered_state/pose/covariance/[1;3],0.000000,0.000000,0.000000,0.000000
/filtered_state/pose/covariance/[1;4],0.000000,0.000000,0.000000,0.000000
/filtered_state/pose/covariance/[1;5],0.000000,0.000000,0.000000,0.000000
/filtered_state/pose/covariance/[2;2],875.709370,875.709370,1598.899815,1237.304593
/filtered_state/pose/covariance/[2;3],0.000000,0.000000,0.000000,0.000000
/filtered_state/pose/covariance/[2;4],0.000000,0.000000,0.000000,0.000000
/filtered_state/pose/covariance/[2;5],0.000000,0.000000,0.000000,0.000000
/filtered_state/pose/covariance/[3;3],0.179129,0.179129,0.179129,0.179129
/filtered_state/pose/covariance/[3;4],0.000000,0.000000,0.000000,0.000000
/filtered_state/pose/covariance/[3;5],0.000000,0.000000,0.000000,0.000000
/filtered_state/pose/covariance/[4;4],875.209370,875.209370,1598.399815,1236.804593
/filtered_state/pose/covariance/[4;5],0.000000,0.000000,0.000000,0.000000
/filtered_state/pose/covariance/[5;5],0.179129,0.179129,0.179129,0.179129
/filtered_state/pose/pose/orientation/pitch,0.000000,0.000000,0.000000,0.000000
/filtered_state/pose/pose/orientation/roll,0.000000,0.000000,0.000000,0.000000
/filtered_state/pose/pose/orientation/w,0.999998,0.000534,1.000000,0.826462
/filtered_state/pose/pose/orientation/x,0.000000,0.000000,0.000000,0.000000
/filtered_state/pose/pose/orientation/y,0.000000,0.000000,0.000000,0.000000
/filtered_state/pose/pose/orientation/yaw,0.003710,-3.140407,3.140525,0.068912
/filtered_state/pose/pose/orientation/z,0.001855,-1.000000,1.000000,0.028994
/filtered_state/pose/pose/position/x,0.033502,0.023943,0.562286,0.295990
/filtered_state/pose/pose/position/y,-0.012538,-0.073459,-0.011435,-0.049679
/filtered_state/pose/pose/position/z,0.000000,0.000000,0.000000,0.000000
/filtered_state/twist/covariance/[0;0],0.179129,0.179129,0.179129,0.179129
/filtered_state/twist/covariance/[0;1],0.000000,0.000000,0.000000,0.000000
/filtered_state/twist/covariance/[0;2],0.000000,0.000000,0.000000,0.000000
/filtered_state/twist/covariance/[0;3],0.000000,0.000000,0.000000,0.000000
/filtered_state/twist/covariance/[0;4],0.000000,0.000000,0.000000,0.000000
/filtered_state/twist/covariance/[0;5],0.000000,0.000000,0.000000,0.000000
/filtered_state/twist/covariance/[1;1],875.209370,875.209370,1598.399815,1236.804593
/filtered_state/twist/covariance/[1;2],0.001604,0.001254,0.001949,0.001604
/filtered_state/twist/covariance/[1;3],0.000000,0.000000,0.000000,0.000000
/filtered_state/twist/covariance/[1;4],0.000000,0.000000,0.000000,0.000000
/filtered_state/twist/covariance/[1;5],0.000000,0.000000,0.000000,0.000000
/filtered_state/twist/covariance/[2;2],0.179129,0.179129,0.179129,0.179129
/filtered_state/twist/covariance/[2;3],0.000000,0.000000,0.000000,0.000000
/filtered_state/twist/covariance/[2;4],0.000000,0.000000,0.000000,0.000000
/filtered_state/twist/covariance/[2;5],0.000000,0.000000,0.000000,0.000000
/filtered_state/twist/covariance/[3;3],0.000000,0.000000,0.000000,0.000000
/filtered_state/twist/covariance/[3;4],0.000000,0.000000,0.000000,0.000000
/filtered_state/twist/covariance/[3;5],0.000000,0.000000,0.000000,0.000000
/filtered_state/twist/covariance/[4;4],0.000000,0.000000,0.000000,0.000000
/filtered_state/twist/covariance/[4;5],0.000000,0.000000,0.000000,0.000000
/filtered_state/twist/covariance/[5;5],0.179129,0.179129,0.179129,0.179129
/filtered_state/twist/twist/angular/x,0.000000,0.000000,0.000000,0.000000
/filtered_state/twist/twist/angular/y,0.000000,0.000000,0.000000,0.000000
/filtered_state/twist/twist/angular/z,0.026432,-0.155387,0.647135,0.190447
/filtered_state/twist/twist/linear/x,-0.024961,-0.166144,0.244270,0.014269
/filtered_state/twist/twist/linear/y,-0.039909,-0.155947,0.184284,-0.001167
/filtered_state/twist/twist/linear/z,0.000000,0.000000,0.000000,0.000000
/odom/header/header/stamp,43.740000,43.740000,79.880000,61.810000
/odom/pose/covariance/[0;0],0.000000,0.000000,0.000000,0.000000
/odom/pose/covariance/[0;1],0.000000,0.000000,0.000000,0.000000
/odom/pose/covariance/[0;2],0.000000,0.000000,0.000000,0.000000
/odom/pose/covariance/[0;3],0.000000,0.000000,0.000000,0.000000
/odom/pose/covariance/[0;4],0.000000,0.000000,0.000000,0.000000
/odom/pose/covariance/[0;5],0.000000,0.000000,0.000000,0.000000
/odom/pose/covariance/[1;1],0.000000,0.000000,0.000000,0.000000
/odom/pose/covariance/[1;2],0.000000,0.000000,0.000000,0.000000
/odom/pose/covariance/[1;3],0.000000,0.000000,0.000000,0.000000
/odom/pose/covariance/[1;4],0.000000,0.000000,0.000000,0.000000
/odom/pose/covariance/[1;5],0.000000,0.000000,0.000000,0.000000
/odom/pose/covariance/[2;2],0.000000,0.000000,0.000000,0.000000
/odom/pose/covariance/[2;3],0.000000,0.000000,0.000000,0.000000
/odom/pose/covariance/[2;4],0.000000,0.000000,0.000000,0.000000
/odom/pose/covariance/[2;5],0.000000,0.000000,0.000000,0.000000
/odom/pose/covariance/[3;3],0.000000,0.000000,0.000000,0.000000
/odom/pose/covariance/[3;4],0.000000,0.000000,0.000000,0.000000
/odom/pose/covariance/[3;5],0.000000,0.000000,0.000000,0.000000
/odom/pose/covariance/[4;4],0.000000,0.000000,0.000000,0.000000
/odom/pose/covariance/[4;5],0.000000,0.000000,0.000000,0.000000
/odom/pose/covariance/[5;5],0.000000,0.000000,0.000000,0.000000
/odom/pose/pose/orientation/pitch,0.000000,0.000000,0.000000,0.000000
/odom/pose/pose/orientation/roll,0.000000,0.000000,0.000000,0.000000
/odom/pose/pose/orientation/w,1.000000,-0.999999,1.000000,-0.045988
/odom/pose/pose/orientation/x,0.000000,0.000000,0.000000,0.000000
/odom/pose/pose/orientation/y,0.000000,0.000000,0.000000,0.000000
/odom/pose/pose/orientation/yaw,0.000000,-3.137936,3.136409,0.057266
/odom/pose/pose/orientation/z,0.000000,-0.292832,0.999998,0.311061
/odom/pose/pose/position/x,0.000000,-0.111036,0.057112,-0.018051
/odom/pose/pose/position/y,0.000000,-0.050314,0.138506,0.010474
/odom/pose/pose/position/z,0.000000,0.000000,0.000000,0.000000
/odom/twist/covariance/[0;0],0.000000,0.000000,0.000000,0.000000
/odom/twist/covariance/[0;1],0.000000,0.000000,0.000000,0.000000
/odom/twist/covariance/[0;2],0.000000,0.000000,0.000000,0.000000
/odom/twist/covariance/[0;3],0.000000,0.000000,0.000000,0.000000
/odom/twist/covariance/[0;4],0.000000,0.000000,0.000000,0.000000
/odom/twist/covariance/[0;5],0.000000,0.000000,0.000000,0.000000
/odom/twist/covariance/[1;1],0.000000,0.000000,0.000000,0.000000
/odom/twist/covariance/[1;2],0.000000,0.000000,0.000000,0.000000
/odom/twist/covariance/[1;3],0.000000,0.000000,0.000000,0.000000
/odom/twist/covariance/[1;4],0.000000,0.000000,0.000000,0.000000
/odom/twist/covariance/[1;5],0.000000,0.000000,0.000000,0.000000
/odom/twist/covariance/[2;2],0.000000,0.000000,0.000000,0.000000
/odom/twist/covariance/[2;3],0.000000,0.000000,0.000000,0.000000
/odom/twist/covariance/[2;4],0.000000,0.000000,0.000000,0.000000
/odom/twist/covariance/[2;5],0.000000,0.000000,0.000000,0.000000
/odom/twist/covariance/[3;3],0.000000,0.000000,0.000000,0.000000
/odom/twist/covariance/[3;4],0.000000,0.000000,0.000000,0.000000
/odom/twist/covariance/[3;5],0.000000,0.000000,0.000000,0.000000
/odom/twist/covariance/[4;4],0.000000,0.000000,0.000000,0.000000
/odom/twist/covariance/[4;5],0.000000,0.000000,0.000000,0.000000
/odom/twist/covariance/[5;5],0.000000,0.000000,0.000000,0.000000
/odom/twist/twist/angular/x,0.000000,0.000000,0.000000,0.000000
/odom/twist/twist/angular/y,0.000000,0.000000,0.000000,0.000000
/odom/twist/twist/angular/z,-0.000000,-0.000000,0.500000,0.189492
/odom/twist/twist/linear/x,-0.000000,-0.000000,0.200000,0.014380
/odom/twist/twist/linear/y,0.000000,0.000000,0.000000,0.000000
/odom/twist/twist/linear/z,0.000000,0.000000,0.000000,0.000000
